country,distance,ratio,freq,round,hemisphere,note
Chile,19604,435.6585366,44.55454545,45,-1,21
Argentina,18873,137.3790377,42.89318182,43,-1,23
Bolivia,17502,132.2951246,39.77727273,40,-1,26
Peru,17025,130.4798835,38.69318182,39,-1,27
Brazil,16610,128.879789,37.75,38,-1,28
Ecuador,16201,127.2831489,36.82045455,37,-1,29
Colombia,15496,124.4829306,35.21818182,35,1,101
Venezuela,15195,123.2680007,34.53409091,35,1,101
Honduras,14213,119.2182872,32.30227273,32,1,98
Guatemala,14056,118.5580027,31.94545455,32,1,98
Dominican Republic,13896,117.8812962,31.58181818,32,1,98
Haiti,13888,117.8473589,31.56363636,32,1,98
Cuba,13613,116.6747616,30.93863636,31,1,97
Mexico,12809,113.1768528,29.11136364,29,1,95
US,11632,107.8517501,26.43636364,26,1,92
Senegal,11467,107.0840791,26.06136364,26,-1,40
Guinea,11419,106.8597211,25.95227273,26,-1,40
Ivory Coast,11240,106.0188662,25.54545455,26,-1,40
South Africa,11222,105.9339417,25.50454545,26,-1,40
Ghana,10822,104.0288422,24.59545455,25,-1,41
Togo,10615,103.0291221,24.125,24,-1,42
Burkina Faso,10573,102.8250942,24.02954545,24,-1,42
Benin,10439,102.1714246,23.725,24,-1,42
Mali,10404,102,23.64545455,24,-1,42
Angola,10394,101.9509686,23.62272727,24,-1,42
Zimbabwe,9950,99.74968672,22.61363636,23,-1,43
Nigeria,9895,99.47361459,22.48863636,22,-1,44
Cameroon,9680,98.38699101,22,22,-1,44
Zambia,9655,98.25985956,21.94318182,22,-1,44
Morocco,9621,98.08669635,21.86590909,22,-1,44
Congo,9579,97.87236586,21.77045455,22,-1,44
Mozambique,9409,97,21.38409091,21,-1,45
Niger,9389,96.89685237,21.33863636,21,-1,45
Canada,9373,96.81425515,21.30227273,21,1,87
Algeria,9228,96.06247967,20.97272727,21,1,87
Portugal,9145,95.62949336,20.78409091,21,1,87
Malawi,9121,95.50392662,20.72954545,21,-1,45
Burundi,8812,93.87225362,20.02727273,20,-1,46
Spain,8776,93.68030743,19.94545455,20,1,86
Rwanda,8719,93.37558567,19.81590909,20,-1,46
Chad,8597,92.72000863,19.53863636,20,-1,46
Tanzania,8585,92.65527508,19.51136364,20,-1,46
Madagascar,8545,92.43916919,19.42045455,19,-1,47
Uganda,8283,91.01098835,18.825,19,-1,47
Tunisia,8241,90.77995373,18.72954545,19,1,85
France,8011,89.50418985,18.20681818,18,1,84
South Sudan,8009,89.49301649,18.20227273,18,-1,48
Kenya,7884,88.79189152,17.91818182,18,-1,48
United Kingdom,7769,88.141931,17.65681818,18,1,84
Sudan,7729,87.91473142,17.56590909,18,-1,48
Belgium,7617,87.27542609,17.31136364,17,1,83
Switzerland,7586,87.09764635,17.24090909,17,1,83
Italy,7556,86.92525525,17.17272727,17,1,83
Netherlands,7476,86.46386528,16.99090909,17,1,83
Australia,7464,86.39444427,16.96363636,17,1,83
Germany,7214,84.93526947,16.39545455,16,1,82
Austria,7128,84.42748368,16.2,16,1,82
Ethiopia,7042,83.91662529,16.00454545,16,1,82
Greece,7004,83.68990381,15.91818182,16,1,82
Czechia,6958,83.41462701,15.81363636,16,1,82
Egypt,6874,82.90958931,15.62272727,16,1,82
Serbia,6836,82.68010643,15.53636364,16,1,82
Somalia,6806,82.49848483,15.46818182,15,-1,51
Hungary,6805,82.49242389,15.46590909,15,1,81
Poland,6631,81.43095235,15.07045455,15,1,81
Bulgaria,6559,80.98765338,14.90681818,15,1,81
Romania,6468,80.42387705,14.7,15,1,81
Sweden,6370,79.81227976,14.47727273,14,1,80
Israel,6311,79.4418026,14.34318182,14,1,80
Belarus,6008,77.5112895,13.65454545,14,1,80
Turkey,5942,77.08436936,13.50454545,14,1,80
Ukraine,5939,77.06490771,13.49772727,13,1,79
Yemen,5921,76.94803441,13.45681818,13,-1,53
Syria,5792,76.10519036,13.16363636,13,1,79
Saudi Arabia,5759,75.88807548,13.08863636,13,1,79
Iraq,5453,73.84443107,12.39318182,12,1,78
Azerbaijan,4893,69.94998213,11.12045455,11,1,77
Iran,4606,67.867518,10.46818182,10,1,76
Indonesia,4192,64.74565622,9.527272727,10,1,76
Sri Lanka,3912,62.54598308,8.890909091,9,-1,57
Malaysia,3522,59.3464405,8.004545455,8,-1,58
Uzbekistan,3460,58.82176468,7.863636364,8,1,74
Kazakhstan,3321,57.62811814,7.547727273,8,1,74
Afghanistan,3310,57.53259945,7.522727273,8,1,74
Pakistan,3280,57.27128425,7.454545455,7,1,73
Philippines,3099,55.66866264,7.043181818,7,-1,59
Japan,3043,55.16339366,6.915909091,7,1,73
India,2980,54.58937626,6.772727273,7,-1,59
Tajikistan,2909,53.93514624,6.611363636,7,1,73
Russia,2851,53.3947563,6.479545455,6,1,72
Cambodia,2588,50.87238937,5.881818182,6,1,72
Vietnam,2455,49.54795657,5.579545455,6,1,72
Thailand,2243,47.36032094,5.097727273,5,1,71
South Korea,2116,46,4.809090909,5,1,71
Taiwan,2100,45.82575695,4.772727273,5,1,71
North Korea,2090,45.7165178,4.75,5,1,71
Nepal,2056,45.3431362,4.672727273,5,1,71
Bangladesh,1895,43.53159772,4.306818182,4,1,70
Hong Kong,1775,42.13074887,4.034090909,4,1,70
Myanmar,1742,41.73727351,3.959090909,4,1,70
XChina,0,0,0,0,1,66
